id,Phylum,Class,Order,Family,Genus
strain_001,Phylum_01,Class_01,Order_01,Family_01,Genus_01
strain_002,Phylum_01,Class_01,Order_01,Family_01,Genus_01
strain_003,Phylum_01,Class_01,Order_01,Family_01,Genus_01
strain_004,Phylum_01,Class_01,Order_01,Family_01,Genus_01
strain_005,Phylum_01,Class_01,Order_01,Family_01,Genus_01
strain_006,Phylum_01,Class_01,Order_01,Family_01,Genus_01
strain_007,Phylum_01,Class_01,Order_01,Family_01,Genus_02
strain_008,Phylum_01,Class_01,Order_01,Family_01,Genus_02
strain_009,Phylum_01,Class_01,Order_01,Family_01,Genus_02
strain_010,Phylum_01,Class_01,Order_01,Family_01,Genus_02
strain_011,Phylum_01,Class_01,Order_01,Family_01,Genus_02
strain_012,Phylum_01,Class_01,Order_01,Family_01,Genus_02
strain_013,Phylum_01,Class_01,Order_01,Family_01,Genus_03
strain_014,Phylum_01,Class_01,Order_01,Family_01,Genus_03
strain_015,Phylum_01,Class_01,Order_01,Family_01,Genus_03
strain_016,Phylum_01,Class_01,Order_01,Family_01,Genus_03
strain_017,Phylum_01,Class_01,Order_01,Family_01,Genus_03
strain_018,Phylum_01,Class_01,Order_01,Family_01,Genus_03
strain_019,Phylum_01,Class_01,Order_01,Family_01,Genus_03
strain_020,Phylum_01,Class_01,Order_01,Family_01,Genus_03
strain_021,Phylum_01,Class_01,Order_01,Family_01,Genus_04
strain_022,Phylum_01,Class_01,Order_01,Family_01,Genus_04
strain_023,Phylum_01,Class_01,Order_01,Family_01,Genus_04
strain_024,Phylum_01,Class_01,Order_01,Family_01,Genus_04
strain_025,Phylum_01,Class_01,Order_01,Family_01,Genus_04
strain_026,Phylum_01,Class_01,Order_01,Family_01,Genus_05
strain_027,Phylum_01,Class_01,Order_01,Family_01,Genus_05
strain_028,Phylum_01,Class_01,Order_01,Family_01,Genus_05
strain_029,Phylum_01,Class_01,Order_01,Family_01,Genus_05
strain_030,Phylum_01,Class_01,Order_01,Family_01,Genus_05
strain_031,Phylum_01,Class_01,Order_01,Family_01,Genus_05
strain_032,Phylum_01,Class_01,Order_01,Family_01,Genus_05
