id,Genus,Species
strain_084,Genus_01,Species_01
strain_078,Genus_01,Species_02
strain_073,Genus_01,Species_03
strain_023,Genus_01,Species_04
strain_048,Genus_01,Species_05
strain_118,Genus_02,Species_06
strain_017,Genus_02,Species_07
strain_057,Genus_02,Species_08
strain_076,Genus_02,Species_09
strain_077,Genus_03,Species_10
strain_123,Genus_03,Species_11
strain_032,Genus_03,Species_12
strain_016,Genus_04,Species_13
strain_058,Genus_04,Species_14
strain_128,Genus_04,Species_15
strain_089,Genus_04,Species_16
strain_010,Genus_04,Species_17
strain_114,Genus_04,Species_18
strain_025,Genus_04,Species_19
strain_013,Genus_05,Species_20
strain_109,Genus_05,Species_21
strain_022,Genus_05,Species_22
strain_011,Genus_05,Species_23
strain_053,Genus_05,Species_24
strain_087,Genus_06,Species_25
strain_021,Genus_06,Species_26
strain_104,Genus_06,Species_27
strain_099,Genus_06,Species_28
strain_059,Genus_06,Species_29
strain_088,Genus_07,Species_30
strain_127,Genus_07,Species_31
strain_081,Genus_07,Species_32
strain_108,Genus_08,Species_33
strain_007,Genus_08,Species_34
strain_028,Genus_08,Species_35
strain_068,Genus_08,Species_36
strain_001,Genus_08,Species_37
strain_037,Genus_08,Species_38
strain_036,Genus_08,Species_39
strain_097,Genus_09,Species_40
strain_015,Genus_09,Species_41
strain_046,Genus_09,Species_42
strain_072,Genus_09,Species_43
strain_085,Genus_09,Species_44
strain_045,Genus_10,Species_45
strain_014,Genus_10,Species_46
strain_049,Genus_10,Species_47
strain_093,Genus_10,Species_48
strain_026,Genus_10,Species_49
strain_040,Genus_10,Species_50
strain_062,Genus_11,Species_51
strain_096,Genus_11,Species_52
strain_105,Genus_12,Species_53
strain_090,Genus_12,Species_54
strain_052,Genus_12,Species_55
strain_003,Genus_12,Species_56
strain_092,Genus_12,Species_57
strain_044,Genus_12,Species_58
strain_051,Genus_13,Species_59
strain_033,Genus_13,Species_60
strain_111,Genus_13,Species_61
strain_129,Genus_14,Species_62
strain_120,Genus_15,Species_63
strain_005,Genus_15,Species_64
strain_070,Genus_16,Species_65
strain_004,Genus_16,Species_66
strain_091,Genus_17,Species_67
strain_107,Genus_18,Species_68
strain_116,Genus_18,Species_69
strain_103,Genus_19,Species_70
strain_110,Genus_19,Species_71
strain_034,Genus_19,Species_72
strain_125,Genus_19,Species_73
strain_055,Genus_19,Species_74
strain_083,Genus_20,Species_75
strain_071,Genus_20,Species_76
strain_050,Genus_20,Species_77
strain_106,Genus_20,Species_78
strain_029,Genus_21,Species_79
strain_130,Genus_21,Species_80
strain_075,Genus_21,Species_81
strain_006,Genus_22,Species_82
strain_080,Genus_23,Species_83
strain_079,Genus_24,Species_84
strain_094,Genus_24,Species_85
strain_095,Genus_24,Species_86
strain_112,Genus_24,Species_87
strain_038,Genus_25,Species_88
strain_098,Genus_25,Species_89
strain_009,Genus_25,Species_90
strain_039,Genus_25,Species_91
strain_100,Genus_25,Species_92
strain_043,Genus_26,Species_93
strain_121,Genus_26,Species_94
strain_074,Genus_26,Species_95
strain_102,Genus_27,Species_96
strain_063,Genus_27,Species_97
strain_027,Genus_27,Species_98
strain_060,Genus_27,Species_99
strain_012,Genus_27,Species_100
strain_115,Genus_27,Species_101
strain_054,Genus_27,Species_102
strain_117,Genus_27,Species_103
strain_020,Genus_28,Species_104
strain_018,Genus_28,Species_105
strain_119,Genus_28,Species_106
strain_066,Genus_28,Species_107
strain_082,Genus_28,Species_108
strain_031,Genus_28,Species_109
strain_041,Genus_28,Species_110
strain_113,Genus_29,Species_111
strain_126,Genus_29,Species_112
strain_064,Genus_29,Species_113
strain_047,Genus_29,Species_114
strain_042,Genus_30,Species_115
strain_024,Genus_31,Species_116
strain_061,Genus_31,Species_117
strain_067,Genus_31,Species_118
strain_056,Genus_31,Species_119
strain_086,Genus_31,Species_120
strain_124,Genus_32,Species_121
strain_101,Genus_32,Species_122
strain_122,Genus_32,Species_123
strain_035,Genus_33,Species_124
strain_002,Genus_33,Species_125
strain_069,Genus_33,Species_126
strain_030,Genus_33,Species_127
strain_019,Genus_33,Species_128
strain_008,Genus_33,Species_129
strain_065,Genus_33,Species_130
